design,signal,training_rows,validation_pairs,groups,peers,replications,rejections,rate,wilson_low,wilson_high,normal_rejections,budget_failures,coverage_failures,mean_bias_budget,mean_sampling_radius,mean_lower_bound,mean_p,target,total_observations
two_balanced,0.0,8192,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,48,0,0,0.0018589569419452507,0.0174554931336806,-0.01932385596582151,1.0,0.0,30976
two_balanced,0.0,8192,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,42,0,0,0.0018589569419452507,0.0087277465668403,-0.010595052268434291,1.0,0.0,50176
two_balanced,0.25,32,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.04096770527448352,0.018836053359827097,-0.0487446620363159,1.0,0.01,7456
two_balanced,0.25,32,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.04096770527448352,0.009418026679913549,-0.03932075432271235,1.0,0.01,26656
two_balanced,0.25,32,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.0075258705645777175,0.018836053359827097,-0.015302827326410093,0.8364119002600894,0.01,22816
two_balanced,0.25,32,8192,400,64,1000,1,0.001,0.00017654637062607809,0.0056425585979579355,1000,0,0,0.0075258705645777175,0.009418026679913549,-0.005878919612806545,0.5629852110759108,0.01,42016
two_balanced,0.25,512,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.030005604004977374,0.017715395981127608,-0.03767390409079658,1.0,0.01,7936
two_balanced,0.25,512,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.030005604004977374,0.008857697990563804,-0.02880542121458523,1.0,0.01,27136
two_balanced,0.25,512,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.002479284743753162,0.017715395981127608,-0.01014758482957237,0.5786222654078699,0.01,23296
two_balanced,0.25,512,8192,400,64,1000,12,0.012,0.006877647806403522,0.02085726847549828,1000,0,0,0.002479284743753162,0.008857697990563804,-0.0012791019533610183,0.11771956319300454,0.01,42496
two_balanced,0.25,8192,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.02906003602430306,0.017446708118924972,-0.03651645379663505,1.0,0.01,15616
two_balanced,0.25,8192,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.02906003602430306,0.008723354059462486,-0.02778158075900108,1.0,0.01,34816
two_balanced,0.25,8192,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.0018580023945701124,0.017446708118924972,-0.0093144201669021,0.5220640291819661,0.01,30976
two_balanced,0.25,8192,8192,400,64,1000,65,0.065,0.051323770569062045,0.0820055093133709,1000,0,0,0.0018580023945701124,0.008723354059462486,-0.0005795471292681322,0.07523741770267425,0.01,50176
two_balanced,0.5,32,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.04082291272329474,0.018715389826940307,-0.03815323280854301,1.0,0.02,7456
two_balanced,0.5,32,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.04082291272329474,0.009357694913470153,-0.028798858366131257,1.0,0.02,26656
two_balanced,0.5,32,8192,100,64,1000,40,0.04,0.02951097368545276,0.05400964412125796,1000,0,0,0.0075292821050934825,0.018715389826940307,-0.004859602190341746,0.22293810045210616,0.02,22816
two_balanced,0.5,32,8192,400,64,1000,908,0.908,0.8884912646437558,0.9243861004320312,1000,0,0,0.0075292821050934825,0.009357694913470153,0.00449477225207,0.03394138438893766,0.02,42016
two_balanced,0.5,512,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.030190339642344015,0.017689863105725748,-0.02779045106921906,1.0,0.02,7936
two_balanced,0.5,512,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.030190339642344015,0.008844931552862874,-0.018945486273826254,1.0,0.02,27136
two_balanced,0.5,512,8192,100,64,1000,478,0.478,0.44718362950053253,0.5089847478728319,1000,0,0,0.002514338602511934,0.017689863105725748,-0.00011445002938697856,0.05424373340375689,0.02,23296
two_balanced,0.5,512,8192,400,64,1000,1000,1.0,0.996173241514445,1.0,1000,0,0,0.002514338602511934,0.008844931552862874,0.008730514766005826,0.00011354473568051165,0.02,42496
two_balanced,0.5,8192,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.029233366861308008,0.01744579667836154,-0.026667684239311425,1.0,0.02,15616
two_balanced,0.5,8192,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.029233366861308008,0.00872289833918077,-0.017944963671972743,1.0,0.02,34816
two_balanced,0.5,8192,8192,100,64,1000,828,0.828,0.8033660485432,0.8501235978902758,1000,0,0,0.0018692198919670765,0.01744579667836154,0.0006964627300295007,0.040316968280525375,0.02,30976
two_balanced,0.5,8192,8192,400,64,1000,1000,1.0,0.996173241514445,1.0,1000,0,0,0.0018692198919670765,0.00872289833918077,0.009419183297368182,0.00010286009566902996,0.02,50176
