condition,entities,clusters,method,replications,rejections,rejection_rate,wilson_low,wilson_high,mean_score,empirical_score_sd,mean_reported_se,mean_statistic,sd_statistic
gaussian_null,8,100,naive_normal,300,236,0.7866666666666666,0.7368372921361543,0.8292474043617724,0.006223416910126714,0.0025145154875511094,0.0025589146086643956,2.4484754406003364,1.0185564254525485
gaussian_null,8,400,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-6.506355672005574e-05,0.0010225573468917253,,,
gaussian_null,8,400,distinct_reference_normal,300,12,0.04,0.023027321487942308,0.06860421203864003,-6.506355672005574e-05,0.0010225573468917253,0.0011228713083883553,-0.06025138421527385,0.9092457756507059
gaussian_null,8,400,naive_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.0060976029682232495,0.0011875906155244028,0.0012831628706910924,4.762460535501652,0.9608145785941865
gaussian_null,32,25,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-0.00013191657019287072,0.0017701816914357687,,,
gaussian_null,32,25,distinct_reference_normal,300,15,0.05,0.03053164062934728,0.08084703347274415,-0.00013191657019287072,0.0017701816914357687,0.0017226662548883677,-0.09648870932243372,1.0468842201616269
gaussian_null,32,25,naive_normal,300,56,0.18666666666666668,0.1466374821326313,0.23461877983475085,0.001242115398820884,0.001833534479879731,0.0017827191298005747,0.698681944247413,1.0428058795883988
gaussian_null,32,100,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,1.4126420073350277e-05,0.0008345425644334135,,,
gaussian_null,32,100,distinct_reference_normal,300,16,0.05333333333333334,0.03309191251909646,0.08486914177483133,1.4126420073350277e-05,0.0008345425644334135,0.000865299190185788,0.015195876605315432,0.9728485087783508
gaussian_null,32,100,naive_normal,300,138,0.46,0.4044631474970939,0.5165482902008698,0.0014036516180731152,0.0008605900765564439,0.0008965055600197902,1.5750017683719328,0.9773542208720636
gaussian_null,32,400,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,1.0149145111718473e-05,0.0004078834548748242,,,
gaussian_null,32,400,distinct_reference_normal,300,13,0.043333333333333335,0.025496448084407246,0.07271746563401146,1.0149145111718473e-05,0.0004078834548748242,0.000434828773149181,0.020942640798078505,0.9420372228273942
gaussian_null,32,400,naive_normal,300,284,0.9466666666666667,0.9151308582251686,0.9669080874809034,0.0014004048105065578,0.0004206292654466603,0.0004505968982299585,3.110184633041887,0.9385831522168294
