suite,setting,regime,signal_delta,legacy_metric,overlap,N,T,rejections,replicates,rate,wilson95_low,wilson95_high
generalization,GCM coarse,nonlinear,0.15,power,0.8,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM coarse,large_n,0.0,typeI,0.8,160,160,48,80,0.6,0.4904546500516039,0.7003817240412906
generalization,GCM coarse,large_n,0.15,power,0.8,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
generalization,GCM coarse,heavy_tail,0.0,typeI,0.8,120,100,62,150,0.41333333333333333,0.3376534099233595,0.49334143243377376
generalization,GCM coarse,heavy_tail,0.15,power,0.8,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM coarse,smooth,0.0,typeI,0.9,120,100,95,150,0.6333333333333333,0.5537823804885079,0.7062255543466717
generalization,GCM coarse,smooth,0.15,power,0.9,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM coarse,nonlinear,0.0,typeI,0.9,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM coarse,nonlinear,0.15,power,0.9,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM coarse,large_n,0.0,typeI,0.9,160,160,55,80,0.6875,0.5793222425531256,0.7784959588710517
generalization,GCM coarse,large_n,0.15,power,0.9,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
generalization,GCM coarse,heavy_tail,0.0,typeI,0.9,120,100,69,150,0.46,0.3822358341961156,0.5397617853533305
generalization,GCM coarse,heavy_tail,0.15,power,0.9,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM coarse,smooth,0.0,typeI,0.95,120,100,99,150,0.66,0.5810428721065096,0.730966649695706
generalization,GCM coarse,smooth,0.15,power,0.95,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM coarse,nonlinear,0.0,typeI,0.95,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM coarse,nonlinear,0.15,power,0.95,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM coarse,large_n,0.0,typeI,0.95,160,160,58,80,0.725,0.6185594135898548,0.810822428119158
generalization,GCM coarse,large_n,0.15,power,0.95,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
generalization,GCM coarse,heavy_tail,0.0,typeI,0.95,120,100,73,150,0.4866666666666667,0.40801711922387535,0.5659820872926068
generalization,GCM coarse,heavy_tail,0.15,power,0.95,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM fine,smooth,0.0,typeI,0.5,120,100,25,150,0.16666666666666666,0.115514298743043,0.23446586416900808
generalization,GCM fine,smooth,0.15,power,0.5,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM fine,nonlinear,0.0,typeI,0.5,120,100,148,150,0.9866666666666667,0.9526930912996325,0.9963358708487731
generalization,GCM fine,nonlinear,0.15,power,0.5,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM fine,large_n,0.0,typeI,0.5,160,160,13,80,0.1625,0.09749819402950367,0.2584290434069771
generalization,GCM fine,large_n,0.15,power,0.5,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
generalization,GCM fine,heavy_tail,0.0,typeI,0.5,120,100,22,150,0.14666666666666667,0.0988943721258812,0.2120846005608929
generalization,GCM fine,heavy_tail,0.15,power,0.5,120,100,146,150,0.9733333333333334,0.9334461094878556,0.989582059177032
generalization,GCM fine,smooth,0.0,typeI,0.65,120,100,29,150,0.19333333333333333,0.13811889170191843,0.2638628581771686
generalization,GCM fine,smooth,0.15,power,0.65,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM fine,nonlinear,0.0,typeI,0.65,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM fine,nonlinear,0.15,power,0.65,120,100,150,150,1.0,0.9750297556319235,1.0
generalization,GCM fine,large_n,0.0,typeI,0.65,160,160,14,80,0.175,0.10720636440977926,0.2725754197883133
generalization,GCM fine,large_n,0.15,power,0.65,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
