setting,regime,metric,seed,N,T,reject,statistic,product_mean,cluster_se
deployed,smooth,typeI,70772,120,100,0,-0.20651096728041765,-0.0008726796301238598,0.004225827042584441
deployed,smooth,typeI,70773,120,100,1,1.8492357648589226,0.006887530919791655,0.0037245282892941997
deployed,smooth,typeI,70774,120,100,0,0.7313472716481896,0.002918066932856528,0.003989988130098948
deployed,smooth,typeI,70775,120,100,0,0.48350028580867377,0.0021744206670534253,0.004497247945606937
deployed,smooth,typeI,70776,120,100,0,0.6810395902745944,0.002885236326520298,0.0042365177703648236
deployed,smooth,typeI,70777,120,100,0,0.24593542487037603,0.0011694176617150522,0.004754978516541125
deployed,smooth,typeI,70778,120,100,0,0.638022394172622,0.002587350173552249,0.004055265453350562
deployed,smooth,typeI,70779,120,100,0,1.5589864332126393,0.006218012643448659,0.003988496956086433
deployed,smooth,typeI,70780,120,100,0,0.49078574602617503,0.0019043494517618014,0.003880205297690607
deployed,smooth,typeI,70781,120,100,0,1.498582006544083,0.00675297189450521,0.0045062411433048
deployed,smooth,typeI,70782,120,100,0,-1.6710575221691144,-0.0078001233023479956,0.004667776661705249
deployed,smooth,typeI,70783,120,100,0,1.3582182793805975,0.005908221003201781,0.004349979007716026
deployed,smooth,typeI,70784,120,100,0,-0.4540529301679804,-0.0019807658983892265,0.004362411883690359
deployed,smooth,typeI,70785,120,100,0,0.8386178271447463,0.003361654726730991,0.004008565782791027
deployed,smooth,typeI,70786,120,100,0,0.9892842958019705,0.00450905296509173,0.0045578940090587735
deployed,smooth,typeI,70787,120,100,0,-1.6561201083678827,-0.007012307653337044,0.004234178196319178
deployed,smooth,typeI,70788,120,100,0,-0.19148065220537358,-0.0008832773629153839,0.004612880480310982
deployed,smooth,typeI,70789,120,100,0,-1.0179268199229043,-0.004632371464256796,0.004550790266639837
deployed,smooth,typeI,70790,120,100,0,0.5139999975997547,0.0021190569242637105,0.0041226788602318105
deployed,smooth,typeI,70791,120,100,0,1.5982170811440022,0.007539118248813366,0.004717205402045179
deployed,smooth,typeI,70792,120,100,0,-1.2029045638459372,-0.005054520543461606,0.004201929808380847
deployed,smooth,typeI,70793,120,100,0,0.38341750879141917,0.0016912224654788742,0.004410916107638961
deployed,smooth,typeI,70794,120,100,0,-1.0578897734117558,-0.004109111292447223,0.0038842527791861526
deployed,smooth,typeI,70795,120,100,0,1.2023955784873024,0.0048330998779866135,0.004019558924249364
deployed,smooth,typeI,70796,120,100,0,0.17547934338194618,0.0007945276796535108,0.004527756169705693
deployed,smooth,typeI,70797,120,100,0,0.5885549384486267,0.0025448469951160667,0.004323890309754318
deployed,smooth,typeI,70798,120,100,0,0.18257933342465205,0.0006817751689885438,0.0037341311100245788
deployed,smooth,typeI,70799,120,100,0,-1.3987633761978862,-0.005734905227067401,0.004099982402067174
deployed,smooth,typeI,70800,120,100,0,-0.7819531723399806,-0.0035016166901666802,0.0044780388570944156
deployed,smooth,typeI,70801,120,100,0,-1.8687010538225428,-0.007852107894034156,0.004201906922443366
deployed,smooth,typeI,70802,120,100,0,1.1169739561158678,0.004926332457028959,0.004410427324697561
deployed,smooth,typeI,70803,120,100,0,-0.3967511387665503,-0.0016998854347202198,0.004284513057744335
deployed,smooth,typeI,70804,120,100,0,1.4657299762536777,0.007058512723286161,0.004815697869076346
deployed,smooth,typeI,70805,120,100,0,-0.44357298697723957,-0.0017393919279101457,0.003921320682224944
deployed,smooth,typeI,70806,120,100,0,0.9399166824182552,0.0040179486081844155,0.00427479231227908
deployed,smooth,typeI,70807,120,100,0,-0.42931325171441614,-0.0020378341256857345,0.004746730080070586
deployed,smooth,typeI,70808,120,100,0,0.28237521859989695,0.0011773637955817915,0.004169501139014686
deployed,smooth,typeI,70809,120,100,0,0.4970895008986022,0.0019445468703194757,0.003911864698015679
deployed,smooth,typeI,70810,120,100,0,0.5779462237377527,0.002169908548142732,0.0037545163529389947
deployed,smooth,typeI,70811,120,100,1,1.789264816387527,0.007914451847238373,0.004423298203123122
deployed,smooth,typeI,70812,120,100,1,2.3279588008935828,0.008919834283473914,0.003831611745040355
deployed,smooth,typeI,70813,120,100,0,0.7336117131896469,0.002749641934403213,0.003748088920838153
deployed,smooth,typeI,70814,120,100,0,-1.9499241706763137,-0.009170408786784304,0.004702956619899546
deployed,smooth,typeI,70815,120,100,0,0.7947967676145435,0.003465987127764107,0.004360847035358129
deployed,smooth,typeI,70816,120,100,0,-1.2034129773869975,-0.004504447948146687,0.0037430608052169364
deployed,smooth,typeI,70817,120,100,1,2.2096235019208783,0.010163179358258096,0.004599507268737412
deployed,smooth,typeI,70818,120,100,0,0.6904074157173533,0.0030760998124507374,0.004455484895472306
deployed,smooth,typeI,70819,120,100,0,1.168952865067954,0.0046487556814204,0.003976854687934878
deployed,smooth,typeI,70820,120,100,0,1.0366569500570677,0.0034825502721433986,0.003359404740354738
deployed,smooth,typeI,70821,120,100,1,1.8241948493589464,0.007984787599790256,0.004377157189428666
deployed,smooth,typeI,70822,120,100,0,-1.100678168706459,-0.004486778680835485,0.004076376554382325
deployed,smooth,typeI,70823,120,100,0,0.743607374470878,0.003363003213905722,0.004522552262608615
deployed,smooth,typeI,70824,120,100,0,-0.3738576906626436,-0.00158654212830138,0.004243706008800608
deployed,smooth,typeI,70825,120,100,0,1.1895044358066555,0.005006397324110942,0.004208809293523888
deployed,smooth,typeI,70826,120,100,0,-0.8791159579515708,-0.004329342905462118,0.004924655122345777
deployed,smooth,typeI,70827,120,100,0,-0.8322516124059587,-0.0035235448630998112,0.004233749518265977
deployed,smooth,typeI,70828,120,100,0,0.29443764637244957,0.0012791215555423684,0.00434428671503623
deployed,smooth,typeI,70829,120,100,0,0.9773559230311852,0.003479513651733797,0.0035601294981078995
