method,mean,radius,lower,p,bias,variance,width,exact_target,query_calls,distinct_labels,archive_rows,delta,task,baseline,candidate,weight,five_gate_seconds,p_by
reference_betting,0.017302437303206457,,,1,0.038496189601333573,0.0036243736909824728,1.3441676617409595,0.018315390993407368,32768,336,336,0.00022996057818659661,appliances,ridge,persistence,0.050000000000000003,0.062625359743833542,1
known_forecast_u,0.01848563789943982,0.0015316851433322151,0.016953952756107605,1.0683584226852676e-60,0,0.003431018967327793,0.54953231292517013,0.018315390993407368,32768,336,336,0,appliances,ridge,persistence,0.050000000000000003,0.062625713646411896,2.3229164561813957e-59
known_forecast_pairs,0.017960155587092866,0.0015316952130670423,0.016428460374025823,1.5259985228078114e-58,0,0.003431018967327793,0.54953231292517013,0.018315390993407368,32768,336,336,0,appliances,ridge,persistence,0.050000000000000003,0.062626074999570847,3.3179567881621267e-57
loss_gain,0.00035157624962659276,0.00055413719748491689,-0.00020256094785832412,0.19876295976396255,0,3.6757535880245544e-06,2,0.00034166637586393852,32768,336,336,0,appliances,ridge,persistence,0.050000000000000003,0.062626432627439499,1
reference_u,0.0073476991986078247,0.005087808316311772,-0.036900446428635846,1,0.039160337310931895,0.0033367451080732087,1.252084637604669,0.0070025062830212474,32768,336,336,0.00022996057818659661,appliances,ridge,seasonal_day,0,0.063376046717166901,1
reference_betting,0.0073223310328020888,,,1,0.039160337310931895,0.0033367451080732087,1.252084637604669,0.0070025062830212474,32768,336,336,0.00022996057818659661,appliances,ridge,seasonal_day,0,0.063376866281032562,1
known_forecast_u,0.0073230350823405357,0.0019743376976142581,0.0053486973847262781,3.3060792703240726e-13,0,0.0059400381516479563,0.64498077876984128,0.0070025062830212474,32768,336,336,0,appliances,ridge,seasonal_day,0,0.063377216458320618,1.7970902319404421e-12
known_forecast_pairs,0.0078177722595185531,0.0019743495163649632,0.0058434227431535899,1.7548436905660789e-14,0,0.0059400381516479563,0.64498077876984128,0.0070025062830212474,32768,336,336,0,appliances,ridge,seasonal_day,0,0.063377570360898972,9.5388289180056135e-14
loss_gain,0,0.00052536914535554176,-0.00052536914535554176,1,0,0,2,0,32768,336,336,0,appliances,ridge,seasonal_day,0,0.063377909362316132,1
reference_u,-0.007405875519189079,0.0050737386830589197,-0.050809269221689657,1,0.038329655019441654,0.0031958086374191943,1.2702838783716794,-0.0077930079360594802,32768,336,336,0.00022996057818659661,appliances,ridge,seasonal_week,0.10000000000000001,0.062798097729682922,1
reference_betting,-0.0078095530645064569,,,1,0.038329655019441654,0.0031958086374191943,1.2702838783716794,-0.0077930079360594802,32768,336,336,0.00022996057818659661,appliances,ridge,seasonal_week,0.10000000000000001,0.062798880040645599,1
known_forecast_u,-0.0080078540758565641,0.0018386149750946087,-0.0098464690509511722,1,0,0.005239235945215367,0.57604048563869992,-0.0077930079360594802,32768,336,336,0,appliances,ridge,seasonal_week,0.10000000000000001,0.062799237668514252,1
known_forecast_pairs,-0.0082363064789303039,0.0018386255305702444,-0.010074932009500548,1,0,0.005239235945215367,0.57604048563869992,-0.0077930079360594802,32768,336,336,0,appliances,ridge,seasonal_week,0.10000000000000001,0.062799591571092606,1
loss_gain,-0.0016009114556445048,0.00062715840604813029,-0.0022280698616926348,1,0,4.6018175483518205e-05,2,-0.0015969508754340206,32768,336,336,0,appliances,ridge,seasonal_week,0.10000000000000001,0.062799941748380661,1
reference_u,0.0014937598779566532,0.0051948325827563752,-0.041070291771671284,1,0.037369219066871566,0.0030629224902943221,1.3518027223155926,0.0011572749277595159,32768,336,336,0.00022996057818659661,appliances,ridge,ridge_full,0,0.068535976111888885,1
reference_betting,0.0017142978636701795,,,1,0.037369219066871566,0.0030629224902943221,1.3518027223155926,0.0011572749277595159,32768,336,336,0.00022996057818659661,appliances,ridge,ridge_full,0,0.068536762148141861,1
known_forecast_u,0.0012129363854929893,0.00087194217873515657,0.00034099420675783271,0.0036474361639177158,0,0.0010599057305591584,0.34469020562770564,0.0011572749277595159,32768,336,336,0,appliances,ridge,ridge_full,0,0.068537119776010513,0.015861136689950751
known_forecast_pairs,0.0013194715294763681,0.00087194849490417265,0.00044752303457219549,0.0014824655687131966,0,0.0010599057305591584,0.34469020562770564,0.0011572749277595159,32768,336,336,0,appliances,ridge,ridge_full,0,0.068537473678588867,0.0064466074159471006
loss_gain,0,0.00052536914535554176,-0.00052536914535554176,1,0,0,2,0,32768,336,336,0,appliances,ridge,ridge_full,0,0.068537820130586624,1
reference_u,0.009306859904507872,0.0050549910996694862,-0.032812662739958837,1,0.037064531544797226,0.0032197884351952296,1.2571021730758298,0.0090523792734255523,32768,336,336,0.00022996057818659661,appliances,ridge,hist_gradient_boosting,0.65000000000000002,0.068148113787174225,1
reference_betting,0.0088004406225053074,,,1,0.037064531544797226,0.0032197884351952296,1.2571021730758298,0.0090523792734255523,32768,336,336,0.00022996057818659661,appliances,ridge,hist_gradient_boosting,0.65000000000000002,0.068148892372846603,1
known_forecast_u,0.009458404864352345,0.0010061436694717941,0.0084522611948805518,1.1270473481968363e-42,0,0.0014357308648484,0.38465136054421767,0.0090523792734255523,32768,336,336,0,appliances,ridge,hist_gradient_boosting,0.65000000000000002,0.068149246275424957,8.1684098283599275e-42
known_forecast_pairs,0.0090097181680506237,0.0010061507178966284,0.0080035674501539953,4.0333228409216484e-40,0,0.0014357308648484,0.38465136054421767,0.0090523792734255523,32768,336,336,0,appliances,ridge,hist_gradient_boosting,0.65000000000000002,0.068149589002132416,2.9231987447060703e-39
loss_gain,0.0010407630631619894,0.00080503349554738365,0.00023572956761460577,0.013241359679090202,0,0.00034737590679183604,2,0.0010563637574031472,32768,336,336,0,appliances,ridge,hist_gradient_boosting,0.65000000000000002,0.068149950355291367,0.17319146679245612
reference_u,0.009947914665696082,0.0051991997089183379,-0.033355932457901132,1,0.03810464741467888,0.0032816990758311724,1.3146766704840325,0.0098492267471365601,32768,336,336,0.00022996057818659661,appliances,ridge,extra_trees,1,0.068606138229370117,1
reference_betting,0.008517191186332377,,,1,0.03810464741467888,0.0032816990758311724,1.3146766704840325,0.0098492267471365601,32768,336,336,0.00022996057818659661,appliances,ridge,extra_trees,1,0.068606890738010406,1
known_forecast_u,0.0099604244563581239,0.00085516824082420726,0.0091052562155339162,2.1549539706939953e-57,0,0.0010601227327971389,0.31262755102040818,0.0098492267471365601,32768,336,336,0,appliances,ridge,extra_trees,1,0.068607252091169357,2.3427428167116147e-56
known_forecast_pairs,0.0095810721704257182,0.00085517396947103013,0.0087258982009546879,1.1521741439918247e-54,0,0.0010601227327971389,0.31262755102040818,0.0098492267471365601,32768,336,336,0,appliances,ridge,extra_trees,1,0.068607591092586517,1.2525778908253978e-53
loss_gain,0.001006529418996524,0.00080343322114689018,0.00020309619784963386,0.015930883936231183,0,0.00034341182402496806,2,0.0011257136707275219,32768,336,336,0,appliances,ridge,extra_trees,1,0.068607941269874573,0.17319146679245612
reference_u,3.6947750794151693e-05,0.0049532523070406065,-0.042168192929244848,1,0.037251888372998393,0.0025574642656371357,1.3333096453291475,0,32768,336,336,0.00022996057818659661,appliances,ridge,category_copy,0.050000000000000003,0.061087798327207565,1
reference_betting,3.9293751941266663e-05,,,1,0.037251888372998393,0.0025574642656371357,1.3333096453291475,0,32768,336,336,0.00022996057818659661,appliances,ridge,category_copy,0.050000000000000003,0.061088569462299347,1
known_forecast_u,0,0,0,1,0,0,0,0,32768,336,336,0,appliances,ridge,category_copy,0.050000000000000003,0.061088908463716507,1
known_forecast_pairs,0,0,0,1,0,0,0,0,32768,336,336,0,appliances,ridge,category_copy,0.050000000000000003,0.061089262366294861,1
loss_gain,-0.00065981007420538992,0.00060390487158978477,-0.0012637149457951748,1,0,2.7394287162968923e-05,2,-0.00070273148192621156,32768,336,336,0,appliances,ridge,category_copy,0.050000000000000003,0.061089601367712021,1
reference_u,-0.00053137646422259501,0.005268249651109988,-0.044377252755823389,1,0.038577626640490803,0.0040298310131022599,1.2224697532106554,-0.00033783207390644069,32768,336,336,0.00022996057818659661,appliances,ridge,independent_noise,0,0.068400364369153976,1
reference_betting,-0.00066192186988293543,,,1,0.038577626640490803,0.0040298310131022599,1.2224697532106554,-0.00033783207390644069,32768,336,336,0.00022996057818659661,appliances,ridge,independent_noise,0,0.068401113152503967,1
known_forecast_u,-0.00051884279979850557,0.0023225676563887686,-0.0028414104561872741,1,0,0.0090868426493639111,0.57053571428571437,-0.00033783207390644069,32768,336,336,0,appliances,ridge,independent_noise,0,0.068401496857404709,1
known_forecast_pairs,-0.00096984614280324418,0.002322578110993925,-0.0032924242537971694,1,0,0.0090868426493639111,0.57053571428571437,-0.00033783207390644069,32768,336,336,0,appliances,ridge,independent_noise,0,0.068401843309402466,1
loss_gain,0,0.00052536914535554176,-0.00052536914535554176,1,0,0,2,0,32768,336,336,0,appliances,ridge,independent_noise,0,0.068402182310819626,1
reference_u,0.013901217978413564,0.0050715192674168118,-0.030832996913064795,1,0.03966269562406155,0.0038068511241129686,1.1649268864136637,0.013363659245006645,32768,4361,4362,0.00022996057818659661,metro,seasonal_day,persistence,0.40000000000000002,0.15705908834934235,1
reference_betting,0.013472357119532805,,,1,0.03966269562406155,0.0038068511241129686,1.1649268864136637,0.013363659245006645,32768,4361,4362,0.00022996057818659661,metro,seasonal_day,persistence,0.40000000000000002,0.15705990418791771,1
known_forecast_u,0.013231664957970603,0.0014809115483250131,0.011750753409645589,3.0848457951683045e-36,0,0.0028228668181667521,0.67278915814655971,0.013363659245006645,32768,4361,4362,0,metro,seasonal_day,persistence,0.40000000000000002,0.15706025063991547,2.2357787144029326e-35
known_forecast_pairs,0.013119768744743951,0.0014809238766417617,0.01163884486810219,7.3984797297138081e-36,0,0.0028228668181667521,0.67278915814655971,0.013363659245006645,32768,4361,4362,0,metro,seasonal_day,persistence,0.40000000000000002,0.15706061199307442,5.362136261249721e-35
loss_gain,0.010738386923525928,0.0011495818049644304,0.009588805118561498,1.2712842549761174e-25,0,0.0017305757763898478,2,0.010868794491095086,32768,4361,4362,0,metro,seasonal_day,persistence,0.40000000000000002,0.15706096589565277,5.5282703887818585e-25
reference_u,0.00030747103754537124,0.0053305092803814661,-0.043550154541989468,1,0.038527116299153376,0.0031842772354168086,1.3943683284954407,0.00029594031630537823,32768,4361,4362,0.00022996057818659661,metro,seasonal_day,seasonal_day,0,0.15726853534579277,1
reference_betting,0.00070961831658751171,,,1,0.038527116299153376,0.0031842772354168086,1.3943683284954407,0.00029594031630537823,32768,4361,4362,0.00022996057818659661,metro,seasonal_day,seasonal_day,0,0.1572694443166256,1
known_forecast_u,0.00027937716747640084,0.00019156724540061871,8.7809922075782128e-05,0.0019737115353151836,0,5.5464777345080377e-05,0.063821068317285651,0.00029594031630537823,32768,4361,4362,0,metro,seasonal_day,seasonal_day,0,0.15726982429623604,0.0071523546589278781
known_forecast_pairs,0.00023310878788892852,0.00019156841487003704,4.1540373018891477e-05,0.011785267925009573,0,5.5464777345080377e-05,0.063821068317285651,0.00029594031630537823,32768,4361,4362,0,metro,seasonal_day,seasonal_day,0,0.1572701670229435,0.042707566147296587
