domain,model,cluster,n,spearman_manual,spearman_scipy,status,baseline_spearman_manual,baseline_spearman_scipy,baseline_status
electricity,histgbr_lag,2013-10-19,48,0.99164133738601823,0.99164133738601823,defined,0.97894051237516289,0.97894051237516277,defined
electricity,histgbr_lag,2013-10-20,48,0.98957881024750327,0.98957881024750327,defined,0.99663482414242288,0.99663482414242288,defined
electricity,histgbr_lag,2013-10-21,48,0.99715037895977843,0.99715037895977843,defined,0.99728614850195396,0.99728614850195396,defined
electricity,histgbr_lag,2013-10-22,48,0.99761181068171945,0.99761181068171945,defined,0.99728614850195396,0.99728614850195396,defined
electricity,histgbr_lag,2013-10-23,48,0.99758460698392948,0.99758460698392948,defined,0.99620060790273557,0.99620060790273546,defined
electricity,histgbr_lag,2013-10-24,48,0.99848016213964819,0.99848016213964808,defined,0.9963091619626574,0.9963091619626574,defined
electricity,histgbr_lag,2013-10-25,48,0.99541346686317445,0.99541346686317433,defined,0.99174989144594006,0.99174989144594006,defined
electricity,histgbr_lag,2013-10-26,48,0.98382544507164571,0.98382544507164571,defined,0.99413808076422061,0.9941380807642205,defined
electricity,histgbr_lag,2013-10-27,48,0.99402952670429878,0.99402952670429878,defined,0.9963091619626574,0.9963091619626574,defined
electricity,histgbr_lag,2013-10-28,48,0.99451772387728377,0.99451772387728377,defined,0.99359531046461136,0.99359531046461136,defined
electricity,histgbr_lag,2013-10-29,48,0.99761181068171945,0.99761181068171945,defined,0.99402952670429878,0.99402952670429878,defined
electricity,histgbr_lag,2013-10-30,48,0.9963089630917773,0.99630896309177719,defined,0.99392097264437695,0.99392097264437684,defined
electricity,histgbr_lag,2013-10-31,48,0.99587494572297008,0.99587494572296997,defined,0.99478940512375158,0.99478940512375158,defined
electricity,histgbr_lag,2013-11-01,48,0.97839774207555363,0.97839774207555352,defined,0.97340425531914898,0.97340425531914898,defined
electricity,histgbr_lag,2013-11-02,48,0.98770591943449393,0.98770591943449404,defined,0.98860182370820671,0.9886018237082066,defined
electricity,histgbr_lag,2013-11-03,48,0.99109856708640898,0.99109856708640898,defined,0.99272687798523662,0.99272687798523673,defined
electricity,histgbr_lag,2013-11-04,48,0.99728614850195396,0.99728614850195396,defined,0.99392097264437695,0.99392097264437684,defined
electricity,histgbr_lag,2013-11-05,48,0.99739470256187579,0.9973947025618759,defined,0.99196699956578371,0.99196699956578371,defined
electricity,histgbr_lag,2013-11-06,48,0.99837168910117235,0.99837168910117235,defined,0.99392097264437695,0.99392097264437684,defined
electricity,histgbr_lag,2013-11-07,48,0.99639047991751417,0.99639047991751417,defined,0.99370386452453319,0.99370386452453308,defined
electricity,histgbr_lag,2013-11-08,48,0.98990447242726876,0.98990447242726876,defined,0.99739470256187579,0.9973947025618759,defined
electricity,histgbr_lag,2013-11-09,48,0.99033868866695618,0.99033868866695607,defined,0.9944637429439861,0.9944637429439861,defined
electricity,histgbr_lag,2013-11-10,48,0.99161397165185305,0.99161397165185305,defined,0.99500651324359535,0.99500651324359524,defined
electricity,histgbr_lag,2013-11-11,48,0.99685193226226665,0.99685193226226665,defined,0.99478940512375158,0.99478940512375158,defined
electricity,histgbr_lag,2013-11-12,48,0.99861589854128807,0.99861589854128807,defined,0.99598349978289191,0.99598349978289191,defined
electricity,histgbr_lag,2013-11-13,48,0.99218410768562748,0.99218410768562737,defined,0.98990447242726876,0.98990447242726876,defined
electricity,histgbr_lag,2013-11-14,48,0.99649903692355191,0.99649903692355191,defined,0.99674337820234482,0.99674337820234482,defined
electricity,histgbr_lag,2013-11-15,48,0.99055579678679984,0.99055579678679972,defined,0.99283543204515845,0.99283543204515845,defined
electricity,histgbr_lag,2013-11-16,48,0.98881893182805036,0.98881893182805036,defined,0.99424663482414244,0.99424663482414244,defined
electricity,histgbr_lag,2013-11-17,48,0.99240121580547114,0.99240121580547114,defined,0.99620060790273557,0.99620060790273546,defined
electricity,histgbr_lag,2013-11-18,48,0.96778570882656634,0.96778570882656634,defined,0.96732522796352582,0.96732522796352582,defined
electricity,histgbr_lag,2013-11-19,48,0.99652627008250105,0.99652627008250094,defined,0.96374294398610505,0.96374294398610505,defined
electricity,histgbr_lag,2013-11-20,48,0.99715037895977843,0.99715037895977843,defined,0.95744680851063835,0.95744680851063824,defined
electricity,histgbr_lag,2013-11-21,48,0.99782891880156321,0.99782891880156321,defined,0.96667390360399474,0.96667390360399474,defined
electricity,histgbr_lag,2013-11-22,48,0.99432789680279687,0.99432789680279687,defined,0.96765089014329131,0.96765089014329142,defined
electricity,histgbr_lag,2013-11-23,48,0.99174989144594006,0.99174989144594006,defined,0.97210160660008682,0.97210160660008693,defined
