design,signal,training_rows,validation_pairs,groups,peers,replications_max,rejections_max,rate_max,wilson_low_max,wilson_high_max,normal_rejections_max,budget_failures_max,coverage_failures_max,mean_bias_budget_max,mean_sampling_radius_max,mean_lower_bound_max,mean_p_max,target_max,total_observations_max,replications_weighted,rejections_weighted,rate_weighted,wilson_low_weighted,wilson_high_weighted,normal_rejections_weighted,budget_failures_weighted,coverage_failures_weighted,mean_bias_budget_weighted,mean_sampling_radius_weighted,mean_lower_bound_weighted,mean_p_weighted,target_weighted,total_observations_weighted
eight_rare,0.0,512,8192,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,99,0,0,0.242250933257675,0.0107856753633682,-0.253050849408492,1.0,0.0,42496,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,99,0,0,0.0120980881256009,0.0107856753633682,-0.0228980042764178,1.0,0.0,42496
eight_rare,0.0,8192,512,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,43,0,0,0.4497331329450881,0.0188948426788303,-0.4686941051307524,1.0,0.0,15616,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,43,0,0,0.1323978926670136,0.0188948426788303,-0.151358864852678,1.0,0.0,15616
eight_rare,0.0,8192,512,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,48,0,0,0.4497331329450881,0.0094474213394151,-0.4592126544496638,1.0,0.0,34816,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,48,0,0,0.1323978926670136,0.0094474213394151,-0.1418774141715895,1.0,0.0,34816
eight_rare,0.0,8192,8192,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,43,0,0,0.1673978551275465,0.0188948426788303,-0.1863588273132108,1.0,0.0,30976,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,43,0,0,0.0089205203989818,0.0188948426788303,-0.0278814925846461,1.0,0.0,30976
eight_rare,0.0,8192,8192,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,48,0,0,0.1673978551275465,0.0094474213394151,-0.1768773766321223,1.0,0.0,50176,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,48,0,0,0.0089205203989818,0.0094474213394151,-0.0184000419035576,1.0,0.0,50176
eight_rare,0.25,32,512,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,978,0,0,0.3181197575907202,0.0247284747360053,-0.325081870031438,1.0,0.0136551020408163,7456,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,978,0,0,0.1937030457272299,0.0247284747360053,-0.2006651581679477,1.0,0.0136551020408163,7456
eight_rare,0.25,32,512,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,984,0,0,0.3181197575907202,0.0123642373680026,-0.3127116234862829,1.0,0.0136551020408163,26656,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,984,0,0,0.1937030457272299,0.0123642373680026,-0.1882949116227926,1.0,0.0136551020408163,26656
eight_rare,0.25,32,8192,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,978,0,0,0.2566182126546289,0.0247284747360053,-0.2635803250953467,1.0,0.0136551020408163,22816,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,978,0,0,0.0356684278008626,0.0247284747360053,-0.0426305402415804,1.0,0.0136551020408163,22816
eight_rare,0.25,32,8192,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,984,0,0,0.2566182126546289,0.0123642373680026,-0.2512100785501915,1.0,0.0136551020408163,42016,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,984,0,0,0.0356684278008626,0.0123642373680026,-0.0302602936964253,1.0,0.0136551020408163,42016
eight_rare,0.25,512,512,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.483456388156155,0.0215277453708584,-0.4911281667202763,1.0,0.0136551020408163,7936,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1385602014006813,0.0215277453708584,-0.1462319799648025,1.0,0.0136551020408163,7936
eight_rare,0.25,512,512,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.483456388156155,0.0107638726854292,-0.480349562025669,1.0,0.0136551020408163,27136,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1385602014006813,0.0107638726854292,-0.1354533752701953,1.0,0.0136551020408163,27136
eight_rare,0.25,512,8192,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.2411610489655727,0.0215277453708584,-0.248832827529694,1.0,0.0136551020408163,23296,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.0121092974356218,0.0215277453708584,-0.0197810759997431,0.967935453181284,0.0136551020408163,23296
eight_rare,0.25,512,8192,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.2411610489655727,0.0107638726854292,-0.2380542228350867,1.0,0.0136551020408163,42496,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.0121092974356218,0.0107638726854292,-0.0090024713051358,0.889613678131061,0.0136551020408163,42496
eight_rare,0.25,8192,512,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.4516109389117473,0.0189175715596925,-0.4568766521785389,1.0,0.0136551020408163,15616,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1331323142553306,0.0189175715596925,-0.1383980275221223,1.0,0.0136551020408163,15616
eight_rare,0.25,8192,512,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.4516109389117473,0.0094587857798462,-0.4474056918716884,1.0,0.0136551020408163,34816,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1331323142553306,0.0094587857798462,-0.1289270672152717,1.0,0.0136551020408163,34816
eight_rare,0.25,8192,8192,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1695654820613985,0.0189175715596925,-0.1748311953281902,1.0,0.0136551020408163,30976,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.0089616792426233,0.0189175715596925,-0.014227392509415,0.8271117645992114,0.0136551020408163,30976
eight_rare,0.25,8192,8192,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1695654820613985,0.0094587857798462,-0.1653602350213396,1.0,0.0136551020408163,50176,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.0089616792426233,0.0094587857798462,-0.0047564322025644,0.4778585870671564,0.0136551020408163,50176
