replication,seed,condition,clusters,reject,fold_scheme,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,nuisance_r2
24,202609058430024,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.0026911935497850197,0.009475487234283963,-0.28401637649279005,0.6118010847075114,computed,-0.016624034412505928
25,202609058430025,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.014929764709216307,0.009545964495921684,-1.563987035107321,0.9410896934197082,computed,-0.01123884819245946
26,202609058430026,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.011363808905442646,0.007801286427655481,1.4566583358813823,0.07260535802978582,computed,-0.011273327123532795
27,202609058430027,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.005175231585669742,0.00836196554837127,-0.6189013283698311,0.7320093183181747,computed,-0.012045044765484292
28,202609058430028,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.011703105521928077,0.008049572846474088,-1.4538790747206327,0.9270100823922672,computed,-0.01551544944291705
29,202609058430029,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.009515112519993174,0.007691109095197818,1.237157398525816,0.10801432694751567,computed,-0.012202678749853701
30,202609058430030,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.0072920381059340825,0.008671633938682826,0.8409070490632016,0.20020000455249626,computed,-0.009918871536666263
31,202609058430031,independent_forecast_null,100,False,contiguous,0,8000,100,0,-8.777199184457873e-05,0.00831848168730984,-0.010551443778313324,0.5042093389359382,computed,-0.018931863307207086
32,202609058430032,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.00905228606993651,0.009282372747806356,-0.9752125147178321,0.8352725721883887,computed,-0.016215646231638292
33,202609058430033,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.00041095290717929877,0.008891812935184509,-0.04621699873522714,0.5184313530398911,computed,-0.019215613432254308
34,202609058430034,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.002487351218243768,0.00866162142177505,-0.2871692373890463,0.6130086301294979,computed,-0.014050118888006002
35,202609058430035,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.009671697981440342,0.01013508798135684,-0.9542786406226677,0.8300286915499688,computed,-0.01446228211629852
36,202609058430036,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.00958452176594885,0.00838014085115382,-1.1437184572654533,0.8736297918445961,computed,-0.01534574953691803
37,202609058430037,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.004095964852907456,0.008988262904848351,0.4557014960808562,0.324302323011744,computed,-0.011163845596450228
38,202609058430038,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.012811610964376528,0.009279902165904345,-1.3805760810117345,0.9162953290216228,computed,-0.011286234618570035
39,202609058430039,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.0033128029062098868,0.009379095936122144,0.3532113253529198,0.361965008999465,computed,-0.016592469128377862
40,202609058430040,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.005923556300170368,0.0072916890388023525,0.8123709429527869,0.20828940706907972,computed,-0.01714629423824232
41,202609058430041,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.01878140833227906,0.007580735582127253,-2.4775179306555835,0.9933850119479408,computed,-0.012544901836472944
42,202609058430042,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.01683346988490275,0.008134474611005072,-2.0693985401501984,0.9807456483006102,computed,-0.013434604171701947
43,202609058430043,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.012372042512912108,0.008229479839795098,-1.503380864132496,0.9336295708552499,computed,-0.011745376838957267
44,202609058430044,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.009532130997694729,0.007720781230256438,-1.2346070576821833,0.8915116094655988,computed,-0.01441751065031549
45,202609058430045,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.004229428105781652,0.008041957929809376,0.5259201978792128,0.2994718273780006,computed,-0.019575756566223346
46,202609058430046,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.0037394599339714,0.00784361952540457,0.4767518263551317,0.31676942660248353,computed,-0.017872179515056485
47,202609058430047,independent_forecast_null,100,False,contiguous,0,8000,100,0,-0.008185184752781289,0.007121286442896812,-1.1493969268636386,0.8748038266623501,computed,-0.01194299590040937
