model,left_q,left_term,right_q,right_term,hac_covariance
Past price and calendar,32,forecast_fit_shift,16,outcome_fit_shift,-3.2425430198031683e-06
Past price and calendar,32,forecast_fit_shift,16,forecast_fit_shift,7.2103017199025375e-06
Past price and calendar,32,forecast_fit_shift,16,joint_fit_shift,-1.0004955598895128e-06
Past price and calendar,32,forecast_fit_shift,24,outcome_fit_shift,-3.0059181473509916e-06
Past price and calendar,32,forecast_fit_shift,24,forecast_fit_shift,7.3729123389790581e-06
Past price and calendar,32,forecast_fit_shift,24,joint_fit_shift,-1.0677101643936869e-06
Past price and calendar,32,forecast_fit_shift,32,outcome_fit_shift,-2.8639973223396956e-06
Past price and calendar,32,forecast_fit_shift,32,forecast_fit_shift,7.6595437437851141e-06
Past price and calendar,32,forecast_fit_shift,32,joint_fit_shift,-1.2528630125953561e-06
Past price and calendar,32,joint_fit_shift,8,outcome_fit_shift,6.6998532353145362e-07
Past price and calendar,32,joint_fit_shift,8,forecast_fit_shift,-6.155305497598248e-07
Past price and calendar,32,joint_fit_shift,8,joint_fit_shift,4.2276247111907687e-07
Past price and calendar,32,joint_fit_shift,12,outcome_fit_shift,5.7281381564120889e-07
Past price and calendar,32,joint_fit_shift,12,forecast_fit_shift,-2.3486989101907326e-07
Past price and calendar,32,joint_fit_shift,12,joint_fit_shift,4.5184281167562533e-07
Past price and calendar,32,joint_fit_shift,16,outcome_fit_shift,5.0242568624766508e-07
Past price and calendar,32,joint_fit_shift,16,forecast_fit_shift,-1.1489522286770536e-06
Past price and calendar,32,joint_fit_shift,16,joint_fit_shift,5.8201133330609635e-07
Past price and calendar,32,joint_fit_shift,24,outcome_fit_shift,5.2108653589183955e-07
Past price and calendar,32,joint_fit_shift,24,forecast_fit_shift,-1.1507577591713944e-06
Past price and calendar,32,joint_fit_shift,24,joint_fit_shift,5.5122997943152646e-07
Past price and calendar,32,joint_fit_shift,32,outcome_fit_shift,5.0820637796660966e-07
