domain,model,configuration,evaluation_rows,family_size,beta,lag,frequency,calendar_direction,mean_product,standard_error,statistic,raw_statistic,standard_error_abstain,calendar_gaps,observed_groups,original_policy_abstain,original_guard_reason,forecast_pooled_fallback_rows,outcome_pooled_fallback_rows,forecast_unseen_entity_rows,outcome_unseen_entity_rows,cohort_sha256,guard_reason,normal_p_one_sided,guarded_p,BY_adjusted_p,final_label
ratings,Item mean,directional_all,12088,10,2,0,cluster,False,0.00089147971749003996,0.00043240652054711353,2.0616703845309092,2.0616703845309092,False,0,279,True,exact_observed_baseline_copy,2060,2816,2757,2335,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,exact_observed_baseline_copy,0.019619563989236487,1,1,ABSTAIN
ratings,Item nearest neighbours,complementary_all,12088,10,2,0,cluster,False,0.18235442203641164,0.014106708952509052,12.92678700966448,12.92678700966448,False,0,279,False,none,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,1.5891269127361897e-38,1.5891269127361897e-38,2.3272511394654397e-37,RETAIN
ratings,Item nearest neighbours,complementary_middle,7212,10,2,0,cluster,False,0.17937406381570289,0.018303190688351584,9.8001527094321954,9.8001527094321954,False,0,168,False,none,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,5.6207781797453118e-23,5.6207781797453118e-23,5.4876936170238291e-22,RETAIN
ratings,Item nearest neighbours,directional_middle,7212,10,2,0,cluster,False,0.1331414970570414,0.020253085037324987,6.5738872281270302,6.5738872281270302,False,0,168,False,none,0,0,2404,2110,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,2.4509181538478966e-11,2.4509181538478966e-11,2.392887155231657e-10,RETAIN
ratings,Item nearest neighbours,directional_all,12088,10,2,0,cluster,False,0.14022702543774698,0.01477116354189181,9.4932958422710332,9.4932958422710332,False,0,279,False,none,2060,2816,2757,2335,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,1.119213019829935e-21,1.119213019829935e-21,1.0927131348366071e-20,RETAIN
ratings,SVD (32 factors),complementary_all,12088,10,2,0,cluster,False,0.046699615000536841,0.0046349535020504514,10.075530418995024,10.075530418995024,False,0,279,False,none,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,3.5438661388390351e-24,3.5438661388390351e-24,2.0759742833945172e-23,RETAIN
ratings,SVD (32 factors),complementary_middle,7212,10,2,0,cluster,False,0.04939752846707187,0.0065730891720500017,7.5151161309539738,7.5151161309539738,False,0,168,False,none,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,2.8430218970118552e-14,2.8430218970118552e-14,1.6654241763368652e-13,RETAIN
ratings,SVD (32 factors),directional_middle,7212,10,2,0,cluster,False,0.041139782604449726,0.007109850707983735,5.7863075181386554,5.7863075181386554,False,0,168,False,none,0,0,2404,2110,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,3.5975222298056953e-09,3.5975222298056953e-09,2.1074056808091933e-08,RETAIN
ratings,SVD (32 factors),directional_all,12088,10,2,0,cluster,False,0.039307633681847885,0.0048667620276157285,8.0767527688435301,8.0767527688435301,False,0,279,False,none,2060,2816,2757,2335,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,3.325710355987194e-16,3.325710355987194e-16,1.9481800109159902e-15,RETAIN
ratings,SVD (40 factors),complementary_all,12088,10,2,0,cluster,False,0.049141735162536448,0.004627855917879611,10.618683043410778,10.618683043410778,False,0,279,False,none,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,1.2198939846493271e-26,1.2198939846493271e-26,8.9325768856117878e-26,RETAIN
