baseline,method,week,start,mse,mae
seasonal_24h,convex__seasonal_168h,5,2018-10-13 00:00:00,92617.18962386277,215.15528997309406
seasonal_24h,convex__seasonal_168h,6,2018-10-20 00:00:00,110076.66183129062,229.0254608341014
seasonal_24h,convex__seasonal_168h,7,2018-10-27 00:00:00,70990.7149057298,198.458875702141
seasonal_24h,convex__seasonal_168h,8,2018-11-03 00:00:00,594612.2245766474,653.9356364007231
seasonal_24h,convex__seasonal_168h,9,2018-11-10 00:00:00,110503.84169421277,267.4021263195945
seasonal_24h,convex__seasonal_168h,10,2018-11-17 00:00:00,45873.513733184795,172.85735224318026
seasonal_24h,convex__seasonal_168h,11,2018-11-24 00:00:00,68047.754145298,181.51286758692234
seasonal_24h,augment__seasonal_168h,0,2018-09-08 00:00:00,125992.80599289494,233.3865912393769
seasonal_24h,augment__seasonal_168h,1,2018-09-15 00:00:00,759027.5681651467,696.9820581301276
seasonal_24h,augment__seasonal_168h,2,2018-09-22 00:00:00,413196.32807661395,473.1948996791239
seasonal_24h,augment__seasonal_168h,3,2018-09-29 00:00:00,827051.4853290784,754.2925734414807
seasonal_24h,augment__seasonal_168h,4,2018-10-06 00:00:00,373253.4500794092,508.2060094707712
seasonal_24h,augment__seasonal_168h,5,2018-10-13 00:00:00,92647.00482560312,218.4806636398752
seasonal_24h,augment__seasonal_168h,6,2018-10-20 00:00:00,112099.96530563735,235.41073013015333
seasonal_24h,augment__seasonal_168h,7,2018-10-27 00:00:00,73045.71816050085,204.6573000466537
seasonal_24h,augment__seasonal_168h,8,2018-11-03 00:00:00,621683.8483067295,678.0375712923224
seasonal_24h,augment__seasonal_168h,9,2018-11-10 00:00:00,107950.78669960357,266.5386554505929
seasonal_24h,augment__seasonal_168h,10,2018-11-17 00:00:00,50374.612072319294,182.81925873735358
seasonal_24h,augment__seasonal_168h,11,2018-11-24 00:00:00,74940.5768258279,195.68442634366528
seasonal_24h,gated__seasonal_168h,0,2018-09-08 00:00:00,123582.47857186744,254.80931674521278
seasonal_24h,gated__seasonal_168h,1,2018-09-15 00:00:00,738105.0102376825,702.4722182775482
seasonal_24h,gated__seasonal_168h,2,2018-09-22 00:00:00,370511.82136194134,435.47807872266753
seasonal_24h,gated__seasonal_168h,3,2018-09-29 00:00:00,1020798.1436144083,881.7510930427161
seasonal_24h,gated__seasonal_168h,4,2018-10-06 00:00:00,470289.19431684486,516.0022962153325
seasonal_24h,gated__seasonal_168h,5,2018-10-13 00:00:00,89790.71292540307,217.18030556113337
seasonal_24h,gated__seasonal_168h,6,2018-10-20 00:00:00,152929.98279385825,290.93002875504203
seasonal_24h,gated__seasonal_168h,7,2018-10-27 00:00:00,94161.03819114513,230.46390296143232
seasonal_24h,gated__seasonal_168h,8,2018-11-03 00:00:00,656623.6300204407,706.341748650623
seasonal_24h,gated__seasonal_168h,9,2018-11-10 00:00:00,101537.565740493,227.97186921538088
seasonal_24h,gated__seasonal_168h,10,2018-11-17 00:00:00,75946.84414798352,204.3517179070674
seasonal_24h,gated__seasonal_168h,11,2018-11-24 00:00:00,112695.63630180356,245.60401022401916
seasonal_24h,direct__ridge_lags_calendar,0,2018-09-08 00:00:00,57541.924983510806,154.76890349461064
