baseline,method,comparator,gain,ci_low,ci_high,weekly_se,weekly_blocks,fortnight_low,fortnight_high,bootstrap_low,bootstrap_high
ridge_lags_calendar,convex__exact_baseline_copy,baseline,-428.0691243274278,-1889.3733912762455,1033.23514262139,663.9319035180343,12,-1721.07467260866,864.936423953804,-1781.332468329731,559.2211494949156
ridge_lags_calendar,augment__exact_baseline_copy,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
ridge_lags_calendar,gated__exact_baseline_copy,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
ridge_lags_calendar,direct__noise_control,baseline,-17055.539706942345,-25595.834695823272,-8515.24471806142,3880.2147073808833,12,-25984.425636602093,-8126.653777282598,-25635.438227875344,-11145.459076713876
ridge_lags_calendar,convex__noise_control,baseline,-70.39001643295813,-302.5331918765528,161.7531590106365,105.47239465932874,12,-292.84097138808534,152.06093852216904,-309.34050534104176,122.324661912608
ridge_lags_calendar,augment__noise_control,baseline,-26.15847451815681,-83.30352287802042,30.986573841706797,25.96339557224001,12,-94.01594143700189,41.69899240068827,-74.17834467711006,25.06671189588692
ridge_lags_calendar,gated__noise_control,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
ridge_lags_calendar,selected_augment,baseline,22431.434324374404,15359.195319308776,29503.673329440033,3213.2152153170796,12,15657.997738311069,29204.87091043775,16288.362514740706,29355.72002939013
ridge_lags_calendar,selected_convex,baseline,16807.713155218633,11459.852310610637,22155.57399982663,2429.7577928269407,12,13842.877751597825,19772.548558839433,10524.608690604839,23179.21002546149
ridge_lags_calendar,selected_gated,baseline,22431.434324374404,15359.195319308776,29503.673329440033,3213.2152153170796,12,15657.997738311069,29204.87091043775,16288.362514740706,29355.72002939013
ridge_lags_calendar,selected_gated,selected_convex,5623.721169155776,833.0841709658534,10414.358167345697,2176.5875958970014,12,-897.7870799078719,12145.229418219424,2173.416580636937,9546.65598249299
ridge_lags_calendar,selected_gated,selected_augment,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
ridge_lags_calendar,selected_gated,direct__ridge_lags_calendar,28565.877403758353,13110.049152441097,44021.70565507561,7022.231922151974,12,13268.393928605305,43863.3608789114,16860.92684438795,43002.02351529101
ridge_lags_calendar,selected_gated,direct__hist_gradient_boosting,9108.069535191953,-1736.114321460831,19952.253391844737,4926.968183758267,12,-6875.877372573814,25092.01644295772,1510.2491082219244,18452.83463579528
